Sigla,Dividendos_Yield,DY_lag1,PVP_lag1,DY_lag2,DY_lag3,Segmento,Tipo_do_Fundo
ABCP11,0.006547,0.006889,0.57852143,0.006094,0.006083,Shoppings,Tijolo
ALZR11,0.007719,0.007059,0.09045822,0.006898,0.007284,Hibrido,Tijolo
BBPO11,0.00967259,0.00966406,0.9766094,0.009667,0.009664,Escritorios,Tijolo
BRCR11,0.004714,0.003591,0.43086812,0.005391,0.003822,Hibrido,Tijolo
BRRI11,0.004552,0.003886,,0.004497,0.003114,Hibrido,Tijolo
BTLG11,0.01202,0.008832,0.8129051,0.007379,0.008229,Logistico,Tijolo
CBOP11,0.000696,0.000696,0.31642976,0.000697,0.000695,Escritorios,Tijolo
CEOC11,0.006202,0.006427,0.478555,0.00641,0.006392,Escritorios,Tijolo
CNES11,0.001269,0.000856,0.15566,0.000281,0.000818,Escritorios,Tijolo
CXCE11,0.006655,0.006729,0.5068198,0.006442,0.0066,Escritorios,Tijolo
CXTL11,0.004544,0.003873,0.5144122,0.00427,0.005606,Logistico,Tijolo
ELDO11,0.005876,0.005476,,0.004822,0.005394,Shoppings,Tijolo
EURO11,0.00556,0.005562,0.62009776,0.005563,0.005564,Logistico,Tijolo
FIGS11,0.005292,0.005288,0.53693205,0.005288,0.005288,Shoppings,Tijolo
FIIB11,0.007939,0.00794,0.92437893,0.00794,0.007729,Logistico,Tijolo
FLMA11,0.005475,0.005658,0.55615634,0.004648,0.004652,Escritorios,Tijolo
FLRP11,0.005682,0.005681,0.007734705,0.005678,0.005676,Shoppings,Tijolo
FPAB11,0.003397,0.003705,0.58308244,0.003605,0.003201,Escritorios,Tijolo
GTWR11,0.007788,0.007791,0.6329666,0.007793,0.007796,Escritorios,Tijolo
HGBS11,0.007127,0.007157,0.08272096,0.007075,0.007076,Shoppings,Tijolo
HGLG11,0.007013,0.006989,0.88558716,0.006966,0.006964,Logistico,Tijolo
HGRE11,0.005126,0.005124,0.57861966,0.005119,0.005125,Escritorios,Tijolo
HLOG11,0.003465,0.003462,0.06762613,0.003454,0.00345,Logistico,Tijolo
HSML11,0.007428,0.007428,0.7197692,0.007389,0.007392,Shoppings,Tijolo
KNRI11,0.006187,0.00618,0.75458264,0.006186,0.006182,Hibrido,Tijolo
LGVT11,0.00481,0.004811,,0.004811,0.004673,Logistico,Tijolo
LVBI11,0.006226,0.007052,0.7452769,0.006216,0.006357,Logistico,Tijolo
MALL11,0.006539,0.00654,0.7772008,0.006536,0.006528,Shoppings,Tijolo
MXRF11,0.010311,0.008584,0.84994286,0.009501,0.009162,Hibrido,Papel
PATB11,0.005819,0.005818,,0.005276,0.005815,Hibrido,Tijolo
PQDP11,0.005889,0.005526,0.47557315,0.004644,5.224495,Shoppings,Tijolo
RBRD11,0.00594737,0.00598314,0.5517721,0.00595553,0.005598,Hibrido,Tijolo
RNGO11,0.00454,0.004587,0.48122516,0.004589,0.004589,Escritorios,Tijolo
SHDP11,0.006358,0.00573,,0.004682,0.00666,Shoppings,Tijolo
SHPH11,0.004332,0.004873,0.85110825,0.004875,0.004877,Shoppings,Tijolo
TRNT11,0.001264,0.003351,0.5297806,0.00191,0.001311,Escritorios,Tijolo
VERE11,0.00459089,0.00229641,0.9310381,0.00395943,0.00459504,Hibrido,Tijolo
VILG11,0.005464,0.005372,0.620778,0.00528,0.005628,Logistico,Tijolo
VISC11,0.006336,0.006327,0.72914517,0.006313,0.006533,Shoppings,Tijolo
VPSI11,0.006314,0.00617,0.7142906,0.007837,0.006437,Shoppings,Tijolo
VSHO11,0.00675,0.006936,0.61164165,0.006932,0.005305,Shoppings,Tijolo
VTLT11,0.008239,0.008241,0.7161257,0.008243,0.008241,Logistico,Tijolo
WPLZ11,0.003292,0.003281,0.5564403,0.00406,0.004062,Shoppings,Tijolo
XPML11,0.009535,0.00884,0.7569714,0.00884,0.00809,Shoppings,Tijolo
